"","data","sta","x","y","AFDW_Carn"
"1","HELCOM","HELCOM1",8.26716667,56.72266667,17.1495994463833
"2","HELCOM","HELCOM10",9.23833333,56.65716667,1.31783376137516
"3","HELCOM","HELCOM100",11.48583333,56.205,16.5836898885503
"4","HELCOM","HELCOM101",11.5,57.83333333,4.14573901086367
"5","HELCOM","HELCOM102",11.51666667,57.75,2.93147138651111
"6","HELCOM","HELCOM103",11.525,57.54998333,57.6404058783968
"7","HELCOM","HELCOM104",11.5309,56.75613333,196.695017572487
"8","HELCOM","HELCOM105",11.5321,55.14783333,35.2006688081464
"9","HELCOM","HELCOM106",11.5685,56.54033333,7.4398379399243
"10","HELCOM","HELCOM107",11.622,56.75533333,14.5403135356807
"11","HELCOM","HELCOM108",11.625,57.60916667,1.0105927069806
"12","HELCOM","HELCOM109",11.6605,56.84916667,20.2220908574958
"13","HELCOM","HELCOM11",9.52571667,55.4926,131.647987119553
"14","HELCOM","HELCOM110",11.66665,57.19166667,7.99464167957717
"15","HELCOM","HELCOM111",11.6787,55.18253333,0.148522781413589
"16","HELCOM","HELCOM112",11.69,57.66998333,3.88755639238545
"17","HELCOM","HELCOM113",11.7205,56.75416667,8.94013810314282
"18","HELCOM","HELCOM114",11.72131667,56.18543333,74.4951044778138
"19","HELCOM","HELCOM115",11.7555,55.75916667,3270.7026609499
"20","HELCOM","HELCOM116",11.79516667,55.86616667,206.040241778259
"21","HELCOM","HELCOM117",11.80416667,57.505,1.35845399543851
"22","HELCOM","HELCOM118",11.80545,56.30983333,35.6349969280431
"23","HELCOM","HELCOM119",11.82166667,55.71333333,130.737000011697
"24","HELCOM","HELCOM12",9.63435,55.69998333,189.272333943921
"25","HELCOM","HELCOM120",11.82666667,56.04333333,245.447956343165
"26","HELCOM","HELCOM121",11.86273333,54.70715,0.87378383875251
"27","HELCOM","HELCOM122",11.87695,55.81305,1477.24420497029
"28","HELCOM","HELCOM123",11.916,56.57283333,9.50967357212686
"29","HELCOM","HELCOM124",11.97166667,56.23666667,3.34028206179568
"30","HELCOM","HELCOM125",11.98831667,57.30331667,5.17666930789773
"31","HELCOM","HELCOM126",12.02666667,55.92666667,19.8575954514449
"32","HELCOM","HELCOM127",12.05443333,55.15871667,0.8510538991891
"33","HELCOM","HELCOM128",12.06233333,55.71533333,NA
"34","HELCOM","HELCOM129",12.0745,56.54216667,472.884720405384
"35","HELCOM","HELCOM13",9.63698333,57.01471667,1183.34894638082
"36","HELCOM","HELCOM130",12.11666667,56.66665,5.28926840892933
"37","HELCOM","HELCOM131",12.11666667,56.66666667,1.59413592925581
"38","HELCOM","HELCOM132",12.22708333,54.99996667,NA
"39","HELCOM","HELCOM133",12.29715,54.97716667,NA
"40","HELCOM","HELCOM134",12.34491667,56.1544,58.4534547384966
"41","HELCOM","HELCOM135",12.34681667,55.17456667,0.433825971177249
"42","HELCOM","HELCOM136",12.39833333,55.49333333,3.29029092721365
"43","HELCOM","HELCOM137",12.56033333,55.553,23.0878893737373
"44","HELCOM","HELCOM138",12.56333333,55.93666667,32.2069091804275
"45","HELCOM","HELCOM139",12.62,55.97666667,44.3921539846555
"46","HELCOM","HELCOM14",9.66136667,57.03108333,166.448807322068
"47","HELCOM","HELCOM140",12.64066667,56.61666667,4.22319059794105
"48","HELCOM","HELCOM141",12.66866667,55.85083333,12.1754697417824
"49","HELCOM","HELCOM142",13.11655,55.23325,0.0155474909243753
"50","HELCOM","HELCOM143",13.11666667,55.23316667,0.0153927895221427
"51","HELCOM","HELCOM144",13.11668333,55.23318333,0.0442542698761604
"52","HELCOM","HELCOM145",13.11675,55.23321667,NA
"53","HELCOM","HELCOM146",13.1665,55.291,0.00769639476107137
"54","HELCOM","HELCOM147",13.1667,55.29093333,0.0194343636554692
"55","HELCOM","HELCOM148",13.1667,55.29098333,0.0327096777345533
"56","HELCOM","HELCOM149",13.16691667,55.291,NA
"57","HELCOM","HELCOM15",9.6665,57.03513333,73.6308808702998
